time,ecg
1867.6,-118961.0
1869.6,-119151.5714285714
1871.6,-119436.85714285713
1873.6,-119826.85714285713
1875.6,-120335.85714285714
1877.6,-120895.14285714286
1879.5,-121377.00000000001
1881.5,-121711.57142857143
1883.5,-121928.71428571429
1885.5,-122078.85714285713
1887.5,-122158.5714285714
1889.5,-122135.99999999999
1891.5,-122026.0
1893.5,-121900.71428571428
1895.5,-121819.42857142857
1897.5,-121776.2857142857
1899.5,-121736.71428571428
1901.5,-121692.0
1903.5,-121659.42857142858
1905.5,-121652.71428571429
1907.5,-121671.14285714286
1909.5,-121698.57142857143
1911.5,-121712.0
1913.5,-121700.42857142857
1915.5,-121678.28571428571
1917.5,-121671.28571428571
1919.5,-121687.14285714286
1921.5,-121702.5714285714
1923.5,-121691.42857142857
1925.5,-121666.85714285713
1927.5,-121671.85714285713
1929.5,-121716.42857142855
1931.5,-121753.42857142855
1933.5,-121740.99999999999
1935.5,-121702.57142857142
1937.5,-121693.99999999997
1939.5,-121726.14285714286
1941.5,-121753.42857142855
1943.5,-121735.42857142857
1945.5,-121685.14285714284
1947.5,-121647.71428571426
1949.5,-121641.2857142857
1951.48,-121636.14285714284
1953.45,-121596.14285714283
1955.43,-121529.99999999997
1957.4,-121483.28571428568
1959.4,-121484.14285714283
1961.4,-121512.5714285714
1963.4,-121528.42857142855
1965.4,-121516.57142857142
1967.4,-121500.5714285714
1969.4,-121508.42857142855
1971.4,-121533.14285714283
1973.4,-121538.42857142855
1975.4,-121506.14285714284
1977.4,-121463.42857142855
1979.4,-121454.42857142855
1981.4,-121491.57142857139
1983.4,-121542.71428571426
1985.4,-121567.42857142857
1987.4,-121563.2857142857
1989.4,-121565.0
1991.4,-121592.14285714286
1993.4,-121616.42857142858
1995.4,-121598.85714285714
1997.4,-121544.57142857143
1999.4,-121498.85714285714
2001.4,-121495.28571428571
2003.4,-121520.57142857142
2005.4,-121532.28571428571
2007.4,-121512.28571428571
2009.4,-121492.57142857142
2011.4,-121510.85714285713
2013.4,-121550.14285714284
2015.4,-121556.99999999997
2017.4,-121517.57142857142
2019.4,-121477.14285714284
2021.4,-121476.57142857142
2023.4,-121502.14285714286
2025.4,-121509.0
2027.4,-121478.42857142857
2029.4,-121438.42857142858
2031.38,-121426.57142857143
2033.35,-121444.42857142858
2035.33,-121459.57142857143
2037.3,-121446.99999999999
2039.3,-121415.14285714284
2041.3,-121391.14285714284
2043.3,-121386.57142857142
2045.3,-121384.28571428571
2047.3,-121357.85714285714
2049.3,-121302.85714285713
2051.3,-121241.28571428571
2053.3,-121198.0
2055.3,-121178.0
2057.3,-121163.0
2059.3,-121129.71428571428
2061.3,-121082.85714285713
2063.3,-121058.71428571429
2065.3,-121077.0
2067.3,-121105.14285714286
2069.3,-121097.57142857142
2071.3,-121060.28571428571
2073.3,-121043.0
2075.3,-121068.14285714286
2077.3,-121097.14285714286
2079.3,-121082.71428571429
2081.3,-121037.57142857142
2083.3,-121020.28571428571
2085.3,-121053.85714285713
2087.3,-121094.85714285713
2089.3,-121096.85714285714
